ID_LAT_LON_YEAR_WEEK,emission
ID_-0.510_29.290_2022_00,4.093770693865014
ID_-0.510_29.290_2022_01,4.358004152389999
ID_-0.510_29.290_2022_02,4.463804243155012
ID_-0.510_29.290_2022_03,4.47677663211502
ID_-0.510_29.290_2022_04,4.515431853900015
ID_-0.510_29.290_2022_05,4.5001442021499996
ID_-0.510_29.290_2022_06,4.5285248677049905
ID_-0.510_29.290_2022_07,4.5375285683499875
ID_-0.510_29.290_2022_08,4.5413588954999895
ID_-0.510_29.290_2022_09,4.544825497014989
ID_-0.510_29.290_2022_10,4.543495818714988
ID_-0.510_29.290_2022_11,4.541793760619988
ID_-0.510_29.290_2022_12,4.538665410714988
ID_-0.510_29.290_2022_13,4.489076879174991
ID_-0.510_29.290_2022_14,4.561022523574993
ID_-0.510_29.290_2022_15,4.558662269959993
ID_-0.510_29.290_2022_16,4.5756035671199875
ID_-0.510_29.290_2022_17,4.586192638079987
ID_-0.510_29.290_2022_18,4.588015621689987
ID_-0.510_29.290_2022_19,4.590737033474991
ID_-0.510_29.290_2022_20,4.581312601874989
ID_-0.510_29.290_2022_21,4.55778420174499
ID_-0.510_29.290_2022_22,4.562361336464989
ID_-0.510_29.290_2022_23,4.563808829789992
ID_-0.510_29.290_2022_24,4.574983644964989
ID_-0.510_29.290_2022_25,4.615946946629991
ID_-0.510_29.290_2022_26,4.641015244749993
ID_-0.510_29.290_2022_27,4.639544384764993
ID_-0.510_29.290_2022_28,4.674498158224998
ID_-0.510_29.290_2022_29,4.674405046289998
ID_-0.510_29.290_2022_30,4.6724239182849985
ID_-0.510_29.290_2022_31,4.683878467304997
ID_-0.510_29.290_2022_32,4.689840832049998
ID_-0.510_29.290_2022_33,4.684170385239999
ID_-0.510_29.290_2022_34,4.680293130564999
ID_-0.510_29.290_2022_35,4.683537873999999
ID_-0.510_29.290_2022_36,4.685414257029998
ID_-0.510_29.290_2022_37,4.6825590460249975
ID_-0.510_29.290_2022_38,4.680887724749999
ID_-0.510_29.290_2022_39,4.671302195554998
ID_-0.510_29.290_2022_40,4.667632804964998
ID_-0.510_29.290_2022_41,4.662991318839998
ID_-0.510_29.290_2022_42,4.664874508675009
ID_-0.510_29.290_2022_43,4.648262355820001
ID_-0.510_29.290_2022_44,4.577455753170006
ID_-0.510_29.290_2022_45,4.589150520399993
ID_-0.510_29.290_2022_46,4.611108873150004
ID_-0.510_29.290_2022_47,4.654199616225017
ID_-0.510_29.290_2022_48,4.490288959125001
ID_-0.528_29.472_2022_00,4.251096989335007
ID_-0.528_29.472_2022_01,4.6261258544900095
ID_-0.528_29.472_2022_02,4.790327601345004
ID_-0.528_29.472_2022_03,4.789753517455009
ID_-0.528_29.472_2022_04,4.792498340305015
ID_-0.528_29.472_2022_05,4.754404938605016
ID_-0.528_29.472_2022_06,4.755965559285005
ID_-0.528_29.472_2022_07,4.730828047679996
ID_-0.528_29.472_2022_08,4.737878116110005
ID_-0.528_29.472_2022_09,4.737686459315006
ID_-0.528_29.472_2022_10,4.737686459315006
ID_-0.528_29.472_2022_11,4.735543317260006
ID_-0.528_29.472_2022_12,4.733771364625006
ID_-0.528_29.472_2022_13,4.679807835810008
ID_-0.528_29.472_2022_14,4.743015430070005
ID_-0.528_29.472_2022_15,4.7420430627550045
ID_-0.528_29.472_2022_16,4.7439140037650045
ID_-0.528_29.472_2022_17,4.762037821590004
ID_-0.528_29.472_2022_18,4.750683357160003
ID_-0.528_29.472_2022_19,4.7480518344700045
ID_-0.528_29.472_2022_20,4.736947544600004
ID_-0.528_29.472_2022_21,4.674373714550002
ID_-0.528_29.472_2022_22,4.670025033925005
